"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7196","User should not be able to book clinic visit with invalid hospital name","","2026-05-14","passed","2026-05-14","","","",""
"","6704","Submit Insta by Practo demo registration form","","2026-05-14","passed","2026-05-14","","","",""
"","10235","User books a clinic visit successfully","","2026-05-14","passed","2026-05-14","","","",""
"","14845","Book a surgery appointment on Practo","","2026-05-14","passed","2026-05-14","","","",""
"","44679","Submit the Practo contact us form","","2026-05-14","passed","2026-05-14","","","",""
"","26725","User books lab tests successfully","","2026-05-14","passed","2026-05-14","","","",""
"","34450","Login with invalid credentials from JSON","","2026-05-14","passed","2026-05-14","","","",""
"","10057","User books a video consultation successfully with authenticated session using JSON data","","2026-05-14","passed","2026-05-14","","","",""
"","17888","Complete end-to-end order flow for Pacimol on Practo","","2026-05-14","passed","2026-05-14","","","",""
"","4900","Validate Practo footer sections and important links","","2026-05-14","passed","2026-05-14","","","",""
"","6712","Register with valid and invalid user details","","2026-05-14","passed","2026-05-14","","","",""
"","5396","Display validation errors when the Contact Us form is submitted with invalid details","","2026-05-14","passed","2026-05-14","","","",""
"","6132","search for an empty query in the help section","","2026-05-14","passed","2026-05-14","","","",""
"","7374","search for queries in the help section and verify the results","","2026-05-14","passed","2026-05-14","","","",""
"","5132","Successfully submit the Contact Us form with valid details","","2026-05-14","passed","2026-05-14","","","",""
"","21197","find speciality doctor Then book appointment with the doctor","","2026-05-14","passed","2026-05-14","","","",""
"","4828","Display validation errors when the Contact Us form is submitted with invalid details","","2026-05-14","passed","2026-05-14","","","",""
"","25009","User books a lab test successfully","","2026-05-14","passed","2026-05-14","","","",""
"","9202","Submit Insta by Practo demo registration form","","2026-05-14","passed","2026-05-14","","","",""
"","33000","Find doctor via hospital name and share visit story","","2026-05-14","passed","2026-05-14","","","",""
"","21141","Follow hair care feed and verify updates","","2026-05-14","passed","2026-05-14","","","",""
"","7033","Request forgot password instructions","","2026-05-14","passed","2026-05-14","","","",""
"","7239","Register with valid and invalid user details","","2026-05-14","passed","2026-05-14","","","",""
"","7616","Login with valid credentials from JSON","","2026-05-14","passed","2026-05-14","","","",""
"","5744","Successfully submit the Contact Us form with valid details","","2026-05-14","passed","2026-05-14","","","",""
